cluster,domain,page_type,what_to_learn,source
VIP и эксклюзивные подарки,premium-business-gifts.ru,Каталог VIP и корпоративных подарков,Ассортимент и коммерческие категории,https://premium-business-gifts.ru/
VIP и эксклюзивные подарки,neststudio.ru,Премиальные наборы для бизнеса,Сильная упаковка предложения и готовые наборы,https://neststudio.ru/p-vip
VIP и эксклюзивные подарки,moskva.pr-gifts.ru,Элитные корпоративные подарки,Широкий охват коммерческих интентов,https://moskva.pr-gifts.ru/catalog/elitnye_podarki/
VIP и эксклюзивные подарки,luxprezent.ru,Премиальные подарки,Прямой конкурент по дорогим подаркам,https://luxprezent.ru/
Корпоративные подарки,vlkv.moscow,Корпоративные подарки по уровням,"Сегментация Base/Premium/Private, персонализация и упаковка",https://vlkv.moscow/korporativnye-podarki/
Корпоративные подарки,gifts.ru,Корпоративные подарки и контент,Большой информационный и ассортиментный охват,https://gifts.ru/
Корпоративные подарки,mospodarok.ru,Подарки для бизнеса,Коммерческий каталог и сценарии получателей,https://mospodarok.ru/
Корпоративные подарки,ac-studio.ru,Бизнес-подарки,Присутствует в выдаче по общим подарочным интентам,https://ac-studio.ru/
Подарки руководителю,dompodarkov1.ru,Подборка подарков руководителю,Много товаров и явная навигация по получателю,https://dompodarkov1.ru/podbor-podarkov/komu/rukovoditelyu/
Подарки руководителю,elitesouvenir.ru,Элитные подарки руководителю,Точное коммерческое позиционирование,https://elitesouvenir.ru/
Подарки руководителю,telegraf-spb.ru,Подарки руководителю,Подарочные сценарии и широкий каталог,https://telegraf-spb.ru/
Подарки руководителю,mospodarok.ru,Подарки директору и начальнику,Фильтрация по получателю,https://mospodarok.ru/
Подарки и изделия из Златоуста,zlatoz.ru,Подбор подарка из Златоуста,"Большая структура, наличие в Москве и Златоусте",https://zlatoz.ru/podbor-podarka/
Подарки и изделия из Златоуста,johannzlatoust.ru,Фабрика и каталог сувениров,"Фильтры по получателю и поводу, производственная экспертиза",https://johannzlatoust.ru/catalog/suveniry
Подарки и изделия из Златоуста,zlatprezent.ru,Златоустовские подарки,Прямой тематический конкурент,https://zlatprezent.ru/
Подарки и изделия из Златоуста,zlatiks.ru,Изделия мастеров Златоуста,Каталог и географическая релевантность,https://zlatiks.ru/
Сувенирное оружие,zlatoustovskienozhi.ru,Ножи и сувенирное оружие,Сильная специализация и глубокие подкатегории,https://zlatoustovskienozhi.ru/
Сувенирное оружие,zlatm.ru,Оружие и изделия Златоуста,Тематический ассортимент,https://zlatm.ru/
Сувенирное оружие,zlatgravura.com,Златоустовская гравюра и оружие,Производственная история и тематическая релевантность,https://zlatgravura.com/
Сувенирное оружие,zlatpodarki.ru,Подарочное оружие,Коммерческие карточки по узким интентам,https://zlatpodarki.ru/
Восточная коллекция,maratika.ru,Восточные подарки,Широкая семантика по восточным товарам,https://maratika.ru/
Восточная коллекция,dargrad.ru,Подарки и религиозные изделия,Смежный подарочный ассортимент,https://dargrad.ru/
Восточная коллекция,souvenir-vip.ru,VIP-сувениры,Пересечение по статусным религиозным подаркам,https://souvenir-vip.ru/
Декор и предметы для кабинета,bronzaplus.ru,Бронзовый декор,Сильная предметная и интерьерная специализация,https://bronzaplus.ru/
Декор и предметы для кабинета,vetro.ru.com,Интерьерные предметы,Смежный премиальный декор,https://vetro.ru.com/
Декор и предметы для кабинета,hihome.info,Интерьерный контент,Информационный конкурент и потенциальная редакционная площадка,https://hihome.info/
Икорницы и чайно-кофейные наборы,zavod-zlatousta.ru,Кофейные наборы,Категорийный текст и широкий товарный ряд,https://zavod-zlatousta.ru/catalog/coffee_sets/
Икорницы и чайно-кофейные наборы,zlatoustovskienozhi.ru,Чайно-кофейные наборы,Глубокая товарная подкатегория,https://zlatoustovskienozhi.ru/suvenir-zlatoust/posuda-i-servizy/chay-kofe/
Икорницы и чайно-кофейные наборы,zlatoz.ru,Подарочная посуда,Ассортимент и наличие,https://zlatoz.ru/
Интерьерные скульптуры,bronzaplus.ru,Интерьерная скульптура,Предметная специализация,https://bronzaplus.ru/
Интерьерные скульптуры,luxprezent.ru,Подарочные скульптуры,Коммерческий премиальный интент,https://luxprezent.ru/
Интерьерные скульптуры,dargrad.ru,Статуэтки и композиции,Широкий подарочный охват,https://dargrad.ru/
